Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Marco Deuritz,MOUNTAIN_BIKING,23/06/2020,12:04:16,01:20:52,22.64,,16.8,48.8,03:34,01:14,484,37,,,,117,144,203,,,,150.0,44.0,210,55,60,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,24.2,02:29,,0,,13.56,,,
,00:00:01,,24.0,02:30,,0,,24.30,,,
,00:00:02,,23.9,02:31,,0,,31.00,,,
,00:00:03,,23.8,02:31,,0,,37.70,,,
,00:00:04,,23.9,02:31,,0,,44.60,,,
,00:00:05,,24.0,02:30,,0,,51.50,,,
,00:00:06,,24.2,02:29,,0,,65.06,,,
,00:00:07,,24.6,02:26,,0,,78.61,,,
,00:00:08,,25.0,02:24,,0,,92.17,,,
,00:00:09,,25.4,02:22,,0,,105.72,,,
,00:00:10,,25.7,02:20,,0,,118.00,,,
,00:00:11,,26.1,02:18,,0,,125.90,,,
,00:00:12,,26.3,02:17,,0,,133.90,,,
,00:00:13,,26.6,02:15,,0,,141.90,,,
,00:00:14,,26.9,02:14,,0,,150.00,,,
,00:00:15,,27.3,02:12,,0,,158.20,,,
,00:00:16,,27.6,02:10,,0,,166.60,,,
,00:00:17,,27.9,02:09,,0,,175.00,,,
,00:00:18,,28.1,02:08,,0,,183.40,,,
,00:00:19,,28.2,02:08,,0,,191.60,,,
,00:00:20,,28.2,02:08,,0,,199.80,,,
,00:00:21,,28.2,02:08,,0,,207.90,,,
,00:00:22,,28.2,02:08,,0,,216.10,,,
,00:00:23,,28.0,02:09,,0,,224.40,,,
,00:00:24,,27.9,02:09,,0,,232.40,,,
,00:00:25,,27.0,02:13,,0,,240.30,,,
,00:00:26,,25.4,02:22,,0,,247.90,,,
,00:00:27,,23.4,02:34,,0,,254.70,,,
,00:00:28,,21.5,02:47,,0,,260.90,,,
,00:00:29,,19.6,03:04,,0,,266.20,,,
,00:00:30,,18.7,03:13,,0,,270.80,,,
,00:00:31,,18.6,03:14,,0,,275.30,,,
,00:00:32,,19.1,03:08,,0,,279.80,,,
,00:00:33,,19.9,03:01,,0,,284.30,,,
,00:00:34,,20.9,02:52,,0,,288.90,,,
,00:00:35,,21.9,02:44,,0,,293.60,,,
,00:00:36,,22.8,02:38,,0,,299.00,,,
,00:00:37,,23.8,02:31,,0,,305.50,,,
,00:00:38,,24.7,02:26,,0,,313.10,,,
,00:00:39,,25.3,02:22,,0,,321.00,,,
,00:00:40,,26.0,02:18,,0,,329.10,,,
,00:00:41,,26.5,02:16,,0,,337.30,,,
,00:00:42,,26.9,02:14,,0,,345.60,,,
,00:00:43,,27.0,02:13,,0,,353.80,,,
,00:00:44,,27.0,02:13,,0,,361.90,,,
,00:00:45,,26.6,02:15,,0,,369.70,,,
,00:00:46,,26.6,02:15,,0,,377.00,,,
,00:00:47,,26.5,02:16,,0,,384.40,,,
,00:00:48,,26.3,02:17,,0,,391.60,,,
,00:00:49,,26.0,02:18,,0,,398.50,,,
,00:00:50,,25.8,02:20,,0,,405.20,,,
,00:00:51,,25.6,02:21,,0,,411.90,,,
,00:00:52,,25.5,02:21,,0,,418.60,,,
,00:00:53,,25.5,02:21,,0,,425.30,,,
,00:00:54,,25.5,02:21,,0,,432.10,,,
,00:00:55,,25.6,02:21,,581,,439.00,,,
,00:00:56,,25.7,02:20,,581,,446.20,,,
,00:00:57,,25.8,02:20,,581,,453.60,,,
,00:00:58,,25.9,02:19,,581,,460.90,,,
,00:00:59,,26.0,02:18,,581,,468.30,,,
,00:01:00,,26.1,02:18,,581,,475.60,,,
,00:01:01,,26.1,02:18,,581,,482.80,,,
,00:01:02,,26.1,02:18,,581,,490.10,,,
,00:01:03,,26.2,02:17,,581,,496.90,,,
,00:01:04,,26.2,02:17,,581,,504.10,,,
,00:01:05,,26.2,02:17,,581,,511.30,,,
,00:01:06,,26.3,02:17,,581,,518.80,,,
,00:01:07,,26.3,02:17,,581,,526.60,,,
,00:01:08,,26.4,02:16,,581,,534.30,,,
,00:01:09,,26.4,02:16,,581,,541.90,,,
,00:01:10,,26.4,02:16,,581,,549.50,,,
,00:01:11,,26.5,02:16,,582,,557.10,,,
,00:01:12,,26.5,02:16,,582,,564.60,,,
,00:01:13,,26.4,02:16,,582,,571.80,,,
,00:01:14,,26.2,02:17,,582,,578.70,,,
,00:01:15,,26.0,02:18,,582,,585.50,,,
,00:01:16,,25.7,02:20,,582,,592.20,,,
,00:01:17,,25.6,02:21,,582,,598.80,,,
,00:01:18,,25.4,02:22,,582,,605.40,,,
,00:01:19,,25.4,02:22,,582,,612.10,,,
,00:01:20,,25.4,02:22,,582,,618.90,,,
,00:01:21,,25.3,02:22,,582,,625.80,,,
,00:01:22,,25.4,02:22,,582,,632.90,,,
,00:01:23,,25.6,02:21,,582,,640.20,,,
,00:01:24,,25.7,02:20,,582,,647.70,,,
,00:01:25,,25.9,02:19,,582,,655.30,,,
,00:01:26,,26.1,02:18,,582,,662.90,,,
,00:01:27,,26.3,02:17,,582,,670.70,,,
,00:01:28,,26.4,02:16,,582,,678.50,,,
,00:01:29,,26.4,02:16,,581,,686.30,,,
,00:01:30,,26.5,02:16,,581,,694.00,,,
,00:01:31,,26.5,02:16,,581,,701.10,,,
,00:01:32,,26.5,02:16,,581,,707.80,,,
,00:01:33,,26.5,02:16,,580,,714.30,,,
,00:01:34,,26.5,02:16,,580,,721.20,,,
,00:01:35,,26.5,02:16,,579,,727.90,,,
,00:01:36,,26.5,02:16,,579,,734.10,,,
,00:01:37,,26.5,02:16,,579,,740.10,,,
,00:01:38,,26.5,02:16,,579,,747.10,,,
,00:01:39,,26.5,02:16,,578,,754.90,,,
,00:01:40,,26.5,02:16,,578,,762.80,,,
,00:01:41,,26.5,02:16,,578,,769.90,,,
,00:01:42,,26.5,02:16,,578,,776.90,,,
,00:01:43,,26.5,02:16,,578,,784.10,,,
,00:01:44,,26.5,02:16,,578,,791.80,,,
,00:01:45,,26.5,02:16,,577,,799.40,,,
,00:01:46,,26.5,02:16,,577,,806.70,,,
,00:01:47,,26.5,02:16,,577,,813.80,,,
,00:01:48,,26.5,02:16,,577,,821.00,,,
,00:01:49,,26.5,02:16,,577,,828.40,,,
,00:01:50,,26.5,02:16,,577,,835.70,,,
,00:01:51,,26.5,02:16,,576,,843.20,,,
,00:01:52,,26.5,02:16,,576,,850.70,,,
,00:01:53,,26.6,02:15,,576,,858.20,,,
,00:01:54,,26.6,02:15,,576,,865.70,,,
,00:01:55,,26.6,02:15,,576,,873.20,,,
,00:01:56,,26.6,02:15,,576,,880.70,,,
,00:01:57,,26.7,02:15,,575,,888.30,,,
,00:01:58,,26.7,02:15,,575,,896.00,,,
,00:01:59,,26.7,02:15,,575,,903.50,,,
,00:02:00,,26.7,02:15,,575,,911.10,,,
,00:02:01,,26.6,02:15,,575,,918.40,,,
,00:02:02,,26.6,02:15,,575,,925.50,,,
,00:02:03,,26.5,02:16,,575,,932.60,,,
,00:02:04,,26.4,02:16,,575,,939.30,,,
,00:02:05,,26.4,02:16,,575,,945.50,,,
,00:02:06,,26.4,02:16,,575,,951.50,,,
,00:02:07,,26.4,02:16,,575,,957.80,,,
,00:02:08,,26.4,02:16,,575,,964.30,,,
,00:02:09,,26.5,02:16,,575,,970.70,,,
,00:02:10,,26.8,02:14,,575,,977.30,,,
,00:02:11,,27.2,02:12,,575,,984.30,,,
,00:02:12,,27.6,02:10,,575,,992.40,,,
,00:02:13,,27.9,02:09,,575,,1001.30,,,
,00:02:14,,28.2,02:08,,575,,1010.10,,,
,00:02:15,,28.6,02:06,,575,,1018.50,,,
,00:02:16,,29.0,02:04,,575,,1026.60,,,
,00:02:17,,29.2,02:03,,574,,1035.00,,,
,00:02:18,,29.3,02:03,,574,,1043.00,,,
,00:02:19,,29.2,02:03,,574,,1050.30,,,
,00:02:20,,29.0,02:04,,574,,1056.90,,,
,00:02:21,,28.8,02:05,,574,,1063.30,,,
,00:02:22,,28.7,02:05,,574,,1069.60,,,
,00:02:23,,28.6,02:06,,574,,1075.80,,,
,00:02:24,,28.4,02:07,,574,,1082.00,,,
,00:02:25,,28.0,02:09,,574,,1087.80,,,
,00:02:26,,27.6,02:10,,574,,1092.60,,,
,00:02:27,,27.3,02:12,,574,,1096.70,,,
,00:02:28,,27.1,02:13,,574,,1101.70,,,
,00:02:29,,26.9,02:14,,574,,1108.30,,,
,00:02:30,,26.6,02:15,,574,,1115.70,,,
,00:02:31,,26.2,02:17,,574,,1122.50,,,
,00:02:32,,25.8,02:20,,574,,1128.00,,,
,00:02:33,,25.6,02:21,,574,,1133.00,,,
,00:02:34,,25.4,02:22,,574,,1138.90,,,
,00:02:35,,25.3,02:22,,574,,1146.00,,,
,00:02:36,,25.3,02:22,,574,,1153.60,,,
,00:02:37,,25.3,02:22,,573,,1161.10,,,
,00:02:38,,25.4,02:22,,573,,1168.20,,,
,00:02:39,,25.7,02:20,,573,,1175.50,,,
,00:02:40,,26.1,02:18,,573,,1183.30,,,
,00:02:41,,26.5,02:16,,573,,1191.20,,,
,00:02:42,,26.8,02:14,,573,,1199.30,,,
,00:02:43,,27.1,02:13,,572,,1207.40,,,
,00:02:44,,27.2,02:12,,572,,1215.40,,,
,00:02:45,,27.3,02:12,,572,,1223.50,,,
,00:02:46,,27.5,02:11,,572,,1231.60,,,
,00:02:47,,27.7,02:10,,572,,1239.70,,,
,00:02:48,,28.1,02:08,,572,,1247.80,,,
,00:02:49,,28.5,02:06,,572,,1256.20,,,
,00:02:50,,29.0,02:04,,572,,1264.70,,,
,00:02:51,,29.4,02:02,,571,,1273.30,,,
,00:02:52,,29.8,02:01,,571,,1282.10,,,
,00:02:53,,30.0,02:00,,571,,1290.80,,,
,00:02:54,,30.2,01:59,,571,,1299.50,,,
,00:02:55,,30.3,01:59,,571,,1308.20,,,
,00:02:56,,30.3,01:59,,571,,1316.90,,,
,00:02:57,,30.3,01:59,,570,,1325.50,,,
,00:02:58,,30.4,01:58,,570,,1334.20,,,
,00:02:59,,30.4,01:58,,570,,1342.70,,,
,00:03:00,,30.5,01:58,,570,,1351.20,,,
,00:03:01,,30.6,01:58,,570,,1359.80,,,
,00:03:02,,30.7,01:57,,570,,1368.40,,,
,00:03:03,,30.7,01:57,,569,,1377.00,,,
,00:03:04,,30.8,01:57,,569,,1385.70,,,
,00:03:05,,30.8,01:57,,569,,1394.50,,,
,00:03:06,,30.8,01:57,,569,,1403.10,,,
,00:03:07,,30.8,01:57,,569,,1411.70,,,
,00:03:08,,30.7,01:57,,569,,1420.20,,,
,00:03:09,,30.7,01:57,,568,,1428.70,,,
,00:03:10,,30.7,01:57,,568,,1437.00,,,
,00:03:11,,30.7,01:57,,568,,1445.40,,,
,00:03:12,,30.6,01:58,,568,,1453.80,,,
,00:03:13,,30.6,01:58,,568,,1462.20,,,
,00:03:14,,30.6,01:58,,568,,1470.60,,,
,00:03:15,,30.6,01:58,,567,,1479.10,,,
,00:03:16,,30.6,01:58,,567,,1487.70,,,
,00:03:17,,30.6,01:58,,567,,1496.20,,,
,00:03:18,,30.6,01:58,,567,,1504.70,,,
,00:03:19,,30.6,01:58,,567,,1513.20,,,
,00:03:20,,30.5,01:58,,567,,1521.60,,,
,00:03:21,,30.5,01:58,,567,,1530.10,,,
,00:03:22,,30.5,01:58,,567,,1538.50,,,
,00:03:23,,30.5,01:58,,566,,1547.00,,,
,00:03:24,,30.5,01:58,,566,,1555.40,,,
,00:03:25,,30.5,01:58,,566,,1563.90,,,
,00:03:26,,30.5,01:58,,566,,1572.30,,,
,00:03:27,,30.4,01:58,,566,,1580.60,,,
,00:03:28,,30.4,01:58,,566,,1588.90,,,
,00:03:29,,30.3,01:59,,566,,1597.20,,,
,00:03:30,,30.2,01:59,,566,,1605.30,,,
,00:03:31,,30.1,02:00,,566,,1613.00,,,
,00:03:32,,30.0,02:00,,566,,1620.60,,,
,00:03:33,,30.0,02:00,,566,,1628.10,,,
,00:03:34,,30.0,02:00,,566,,1636.00,,,
,00:03:35,,30.2,01:59,,566,,1644.30,,,
,00:03:36,,30.4,01:58,,566,,1652.70,,,
,00:03:37,,30.6,01:58,,566,,1661.00,,,
,00:03:38,,30.8,01:57,,566,,1669.60,,,
,00:03:39,,30.8,01:57,,566,,1678.60,,,
,00:03:40,,30.9,01:57,,566,,1687.70,,,
,00:03:41,,30.9,01:57,,566,,1696.40,,,
,00:03:42,,30.7,01:57,,566,,1704.80,,,
,00:03:43,,30.4,01:58,,566,,1712.60,,,
,00:03:44,,29.9,02:00,,566,,1720.30,,,
,00:03:45,,29.4,02:02,,566,,1727.60,,,
,00:03:46,,28.9,02:05,,566,,1734.50,,,
,00:03:47,,28.5,02:06,,566,,1741.30,,,
,00:03:48,,28.2,02:08,,566,,1748.20,,,
,00:03:49,,28.1,02:08,,566,,1755.50,,,
,00:03:50,,28.0,02:09,,566,,1762.90,,,
,00:03:51,,27.9,02:09,,566,,1770.50,,,
,00:03:52,,27.9,02:09,,566,,1778.10,,,
,00:03:53,,27.9,02:09,,566,,1785.70,,,
